1,Wii Sports,Wii,2006,Sports,Nintendo
2,Super Mario Bros.,NES,1985,Platform,Nintendo
3,Mario Kart Wii,Wii,2008,Racing,Nintendo
4,Wii Sports Resort,Wii,2009,Sports,Nintendo
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo
6,Tetris,GB,1989,Puzzle,Nintendo
7,New Super Mario Bros.,DS,2006,Platform,Nintendo
8,Wii Play,Wii,2006,Misc,Nintendo
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo
10,Duck Hunt,NES,1984,Shooter,Nintendo
11,Nintendogs,DS,2005,Simulation,Nintendo
12,Mario Kart DS,DS,2005,Racing,Nintendo
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo
14,Wii Fit,Wii,2007,Sports,Nintendo
15,Wii Fit Plus,Wii,2009,Sports,Nintendo
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive
19,Super Mario World,SNES,1990,Platform,Nintendo
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo
22,Super Mario Land,GB,1989,Platform,Nintendo
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo
43,Mario Kart 7,3DS,2011,Racing,Nintendo
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo
47,Super Mario 64,N64,1996,Platform,Nintendo
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo
60,Super Mario 64,DS,2004,Platform,Nintendo
61,Just Dance 3,Wii,2011,Misc,Ubisoft
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios
64,Mario Kart 64,N64,1996,Racing,Nintendo
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision
69,Just Dance 2,Wii,2010,Misc,Ubisoft
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision
72,Donkey Kong Country,SNES,1994,Platform,Nintendo
73,Minecraft,X360,2013,Misc,Microsoft Game Studios
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo
75,Mario Party DS,DS,2007,Misc,Nintendo
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks
77,Super Mario Kart,SNES,1992,Racing,Nintendo
78,FIFA 16,PS4,2015,Sports,Electronic Arts
79,Wii Party,Wii,2010,Misc,Nintendo
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios
81,Mario Party 8,Wii,2007,Misc,Nintendo
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts
84,The Sims 3,PC,2009,Simulation,Electronic Arts
85,GoldenEye 007,N64,1997,Shooter,Nintendo
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft
89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo
90,Pac-Man,2600,1982,Puzzle,Atari
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo
99,Call of Duty: World at War,X360,2008,Shooter,Activision
100,Battlefield 3,X360,2011,Shooter,Electronic Arts
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision
